word,type
dedicating,v
dedication,n
dedications,n
deduce,v
deduced,v
deduces,v
deducible,s
deducing,v
deduct,v
deducted,v
deductible,n
deducting,v
deduction,n
deductions,n
deductive,a
deductively,
deducts,v
dee,
deed,n
deeds,n
deejay,
deem,v
deemed,v
deeming,v
deems,v
deep,n
deepen,v
deepened,v
deepening,n
deepens,v
deeper,a
deepest,a
deepfreeze,n
deepfreezing,
deepfried,
deepfrozen,
deepish,
deeply,r
deepness,n
deeprooted,
deeps,n
deepsea,
deepseated,
deer,n
deerstalker,n
deerstalkers,n
deerstalking,n
deface,v
defaced,v
defaces,v
defacing,v
defacto,
defamation,n
defamatory,s
defame,v
defamed,v
defamer,n
defames,v
defaming,v
default,n
defaulted,v
defaulter,n
defaulters,n
defaulting,v
defaults,n
defeat,n
defeated,n
defeater,
defeating,v
defeatism,n
defeatist,n
defeats,n
defecate,v
defecating,v
defect,n
defected,v
defecting,v
defection,n
defections,n
defective,s
defectiveness,n
defectives,
defector,n
defectors,n
defects,n
defence,n
defenceless,s
defencelessness,n
defences,n
defend,v
defendant,n
defendants,n
defended,v
defender,n
defenders,n
defending,v
defends,v
defenestrate,v
defenestrated,v
defenestration,n
defenses,n
defensibility,n
defensible,s
defensive,n
defensively,r
defensiveness,n
defer,v
deference,n
deferential,s
deferentially,r
deferment,n
deferral,n
deferred,v
deferring,v
defers,v
defiance,n
defiant,a
defiantly,r
defibrillator,n
defibrillators,n
deficiencies,n
deficiency,n
deficient,s
deficit,n
deficits,n
defied,v
defier,
defies,v
defile,n
defiled,v
defilement,n
defiles,n
defiling,v
definable,s
definably,
define,v
defined,v
definer,
defines,v
defining,n
definite,a
definitely,r
definiteness,n
definition,n
definitional,
definitions,n
definitive,s
definitively,
definitiveness,
deflatable,
deflate,v
deflated,v
deflates,v
deflating,v
deflation,n
deflationary,a
deflect,v
deflected,v
deflecting,v
deflection,n
deflections,n
deflector,n
deflectors,n
deflects,v
deflower,v
deflowering,v
defoliants,n
defoliation,n
deforestation,n
deforested,v
deform,v
deformable,
deformation,n
deformations,n
deformed,v
deforming,v
deformities,n
deformity,n
deforms,v
defragmentation,
defraud,v
defrauded,v
defrauding,v
defrauds,v
defray,v
defrayed,v
defrost,v
defrosted,v
defrosting,v
defrosts,v
deft,s
defter,s
deftly,r
deftness,n
defunct,s
defuse,v
defused,v
defuses,v
defusing,n
defy,v
defying,v
degas,n
degauss,v
degaussed,v
degaussing,n
degeneracies,n
degeneracy,n
degenerate,n
degenerated,v
degenerates,n
degenerating,v
degeneration,n
degenerative,s
degradable,
degradation,n
degradations,n
degrade,v
degraded,v
degrades,v
degrading,v
degrease,v
degree,n
degrees,n
dehorn,v
dehumanised,v
dehumanises,v
dehumanising,v
dehumidifier,
dehydrate,v
dehydrated,v
dehydrating,v
dehydration,n
deification,n
deified,v
deifies,v
deify,v
deifying,v
deism,n
deist,n
deists,n
deities,n
deity,n
deject,v
dejected,v
dejectedly,r
dejection,n
dejects,v
deklerk,
delate,
delay,n
delayed,v
delaying,v
delays,n
delectable,s
delectation,n
delegate,n
delegated,v
delegates,n
delegating,n
delegation,n
delegations,n
deletable,
delete,v
deleted,v
deleter,
deleterious,s
deleteriously,
deletes,v
deleting,v
deletion,n
deletions,n
delhi,n
deli,n
deliberate,v
deliberated,v
deliberately,r
deliberating,v
deliberation,n
deliberations,n
deliberative,s
delible,s
delicacies,n
delicacy,n
delicate,a
delicately,r
delicatessen,n
delicatessens,n
delicious,n
deliciously,r
delict,
delight,n
delighted,v
delightedly,r
delightful,s
delightfully,r
delighting,v
delights,n
delilah,n
delimit,v
delimited,v
delimiter,
delimiters,
delimiting,v
delimits,v
delineate,v
delineated,v
delineates,v
delineating,v
delineation,n
delinquency,n
delinquent,n
delinquents,n
deliquesced,v
deliquescent,s
delirious,s
deliriously,r
delirium,n
deliver,v
deliverable,n
deliverance,n
delivered,v
deliverer,n
deliverers,n
deliveries,n
delivering,v
delivers,v
delivery,n
dell,n
dells,n
delphi,n
delphiniums,n
delta,n
deltas,n
deltoid,n
deltoids,n
delude,v
deluded,v
deludes,v
deluding,v
deluge,n
deluged,v
deluges,n
deluging,v
delusion,n
delusional,s
delusions,n
delusive,s
deluxe,s
delve,v
delved,v
delves,n
delving,v
demagnetisation,n
demagnetise,v
demagog,n
demagogic,a
demagogue,n
demagoguery,n
demagogues,n
demagogy,n
demand,n
demanded,v
demander,n
demanding,v
demands,n
demarcate,v
demarcated,v
demarcating,v
demarcation,n
demarcations,n
dematerialise,v
dematerialised,v
dematerialises,v
demean,v
demeaned,v
demeaning,v
demeanour,n
demeans,v
dement,
demented,s
dementedly,r
dementia,n
demerge,
demerit,n
demigod,n
demigods,n
demijohns,n
demilitarisation,
demilitarised,v
demise,n
demised,v
demises,n
demist,v
demists,v
demo,n
demobilisation,n
demobilised,v
demobs,v
democracies,n
democracy,n
democrat,n
democratic,a
democratically,r
democratisation,n
democratising,v
democrats,n
demodulator,n
demographer,n
demographers,n
demographic,n
demographically,
demographics,n
demography,n
demolish,v
demolished,v
demolisher,
demolishes,v
demolishing,n
demolition,n
demolitions,n
demon,n
demonic,s
demonise,v
demonology,
demons,n
demonstrable,s
demonstrably,r
demonstrate,v
demonstrated,v
demonstrates,v
demonstrating,v
demonstration,n
demonstrations,n
demonstrative,n
demonstratively,r
demonstratives,n
demonstrator,n
demonstrators,n
demoralisation,n
demoralise,v
demoralised,v
demoralising,v
demote,v
demoted,v
demotes,v
demotic,n
demotion,n
demount,
demountable,
demounted,
demounting,
demur,n
demure,s
demurely,r
demurred,v
demurring,v
demurs,n
demystification,
demystify,v
demystifying,v
den,n
denationalisation,n
denatured,v
denaturing,v
dendrites,n
dendritic,a
dendrochronological,
dendrochronology,
deniable,a
denial,n
denials,n
denied,v
denier,n
deniers,n
denies,v
denigrate,v
denigrated,v
denigrates,v
denigrating,v
denigration,n
denigrations,n
denim,n
denims,n
denizen,n
denizens,n
denmark,n
denominated,v
denomination,n
denominational,a
denominations,n
denominator,n
denominators,n
denotation,n
denotational,
denotations,n
denote,v
denoted,v
denotes,v
denoting,v
denouement,n
denounce,v
denounced,v
denouncements,n
denounces,v
denouncing,v
dens,n
dense,s
densely,r
denseness,n
denser,s
densest,s
densities,n
densitometry,n
density,n
dent,n
dental,n
dented,v
dentin,n
dentine,n
denting,v
dentist,n
dentistry,n
dentists,n
dentition,n
dents,n
denture,n
dentures,n
denudation,n
denude,v
denuded,v
denudes,v
denunciation,n
denunciations,n
denver,n
deny,v
denying,v
deodorant,n
deodorants,n
deodorised,v
depart,v
departed,n
departer,n
departing,v
department,n
departmental,a
departmentally,r
departments,n
departs,v
departure,n
departures,n
depend,v
dependability,n
dependable,a
dependant,n
dependants,n
depended,v
dependence,n
dependencies,n
dependency,n
dependent,n
depending,v
depends,v
depersonalisation,n
depersonalising,v
depict,v
depicted,v
depicting,n
depiction,n
depictions,n
depicts,v
deplete,v
depleted,v
depleting,v
depletion,n
deplorable,s
deplorably,r
deplore,v
deplored,v
deplores,v
deploring,v
deploy,v
deployed,v
deploying,v
deployment,n
deployments,n
deploys,v
depolarisation,n
depolarisations,n
depoliticisation,
deponent,n
depopulated,v
depopulation,n
deport,v
deportation,n
deportations,n
deported,v
deportee,n
deportees,n
deporting,v
deportment,n
deports,v
depose,v
deposed,v
deposing,v
deposit,n
depositary,n
deposited,v
depositing,v
deposition,n
depositional,
depositions,n
depositories,n
depositors,n
depository,n
deposits,n
depot,n
depots,n
deprave,v
depraved,v
depraves,v
depraving,v
depravity,n
deprecate,v
deprecated,v
deprecates,v
deprecating,v
deprecatingly,
deprecation,n
deprecations,n
deprecatory,s
depreciate,v
depreciated,v
depreciating,v
depreciation,n
depredation,n
depredations,n
depress,v
depressant,n
depressants,n
depressed,v
depresses,v
depressing,v
depressingly,r
depression,n
depressions,n
depressive,n
depressives,n
deprivation,n
deprivations,n
deprive,v
deprived,v
deprives,v
depriving,v
depth,n
depths,n
deputation,n
deputations,n
depute,v
deputed,v
deputes,v
deputies,n
deputise,v
deputised,v
deputises,v
deputising,v
deputy,n
derail,v
derailed,v
derailing,v
derailment,n
derails,v
derange,v
deranged,v
derangement,n
derate,v
derated,v
derates,v
derbies,n
derby,n
deregulate,v
deregulated,v
deregulating,n
deregulation,n
derelict,n
dereliction,n
derelictions,n
deride,v
derided,v
deriders,
derides,v
deriding,v
derision,n
derisive,s
derisively,r
derisory,s
derivable,s
derivation,n
derivations,n
derivative,n
derivatively,
derivatives,n
derive,v
derived,v
derives,v
deriving,n
dermal,a
dermatitis,n
dermatological,a
dermatologist,n
dermatologists,n
dermatology,n
dermic,a
dermis,n
derogate,v
derogation,n
derogations,n
derogatory,s
derrick,n
dervishes,n
desalination,n
desalt,v
desaturated,
descant,n
descend,v
descendant,n
descendants,n
descended,v
descendent,n
descender,n
descenders,n
descending,v
descends,v
descent,n
descents,n
describable,s
describe,v
described,v
describer,
describers,
describes,v
describing,v
description,n
descriptions,n
descriptive,a
descriptively,r
descriptiveness,
descriptivism,n
descriptor,n
descriptors,n
desecrate,v
desecrated,v
desecrates,v
desecrating,v
desecration,n
desegregation,n
deselected,
desensitising,v
desert,n
deserted,v
deserter,n
deserters,n
desertification,n
deserting,v
desertion,n
desertions,n
deserts,n
deserve,v
deserved,v
deservedly,r
deserves,v
deserving,v
desiccated,v
desiccation,n
desiccator,
desiderata,n
desideratum,n
design,n
designable,
designate,v
designated,v
designates,v
designating,v
designation,n
designational,
designations,n
designator,
designators,
designed,v
designedly,r
designer,n
designers,n
designing,n
designs,n
desirabilia,
desirability,n
desirable,a
desirableness,n
desirably,
desire,n
desired,v
desires,n
desiring,v
desirous,a
desist,v
desisted,v
desisting,v
desk,n
deskilling,
desks,n
desktop,n
desktops,n
desolate,v
desolated,v
desolating,v
desolation,n
desorption,n
despair,n
despaired,v
despairing,v
despairingly,r
despairs,n
despatch,n
despatched,v
despatches,n
despatching,v
desperado,n
desperate,n
desperately,r
desperation,n
despicable,s
despicably,r
despisal,n
despise,v
despised,v
despises,v
despising,n
despite,n
despoil,v
despoiled,v
despoiling,v
despond,v
despondency,n
despondent,s
despondently,r
despot,n
despotic,a
despotism,n
despots,n
dessert,n
desserts,n
dessicated,
dessication,
destabilisation,n
destabilise,v
destabilised,v
destabilising,v
destination,n
destinations,n
destine,v
destined,v
destinies,n
destiny,n
destitute,s
destitution,n
destroy,v
destroyable,s
destroyed,v
destroyer,n
destroyers,n
destroying,v
destroys,v
destruct,v
destruction,n
destructive,a
destructively,r
destructiveness,n
desuetude,n
desultorily,
desultoriness,
desultory,s
detach,v
detachable,a
detached,v
detaches,v
detaching,v
detachment,n
detachments,n
detail,n
detailed,v
detailing,n
details,n
detain,v
detained,v
detainee,n
detainees,n
detainer,
detaining,v
detains,v
detect,v
detectability,
detectable,s
detectably,
detected,v
detecting,n
detection,n
detections,n
detective,n
detectives,n
detector,n
detectors,n
detects,v
detent,n
detente,n
detention,n
detentions,n
deter,v
detergent,n
detergents,n
deteriorate,v
deteriorated,v
deteriorates,v
deteriorating,v
deterioration,n
determinable,a
determinacy,
determinant,n
determinants,n
determinate,a
determinately,
determination,n
determinations,n
determinative,n
determine,v
determined,v
determinedly,r
determiner,n
determines,v
determining,v
determinism,n
determinist,n
deterministic,s
deterministically,
deterred,v
deterrence,n
deterrent,n
deterrents,n
deterring,v
deters,v
detest,v
detestable,s
detestably,r
detestation,n
detested,v
detester,
detesters,
detesting,v
detests,v
dethrone,v
dethroned,v
detonate,v
detonated,v
detonates,v
detonating,v
detonation,n
detonations,n
detonator,n
detonators,n
detour,n
detoured,v
detours,n
detox,n
detoxification,n
detoxify,v
detract,v
detracted,v
detracting,v
detraction,n
detractor,n
detractors,n
detracts,v
detriment,n
detrimental,s
detrimentally,r
detrital,
detritus,n
detroit,n
deuce,n
deuced,s
deuces,n
deuterium,n
deuteron,n
devaluation,n
devaluations,n
devalue,v
devalued,v
devalues,v
devaluing,v
devastate,v
devastated,v
devastating,v
devastatingly,
devastation,n
develop,v
developed,v
developer,n
developers,n
developing,n
development,n
developmental,a
developmentally,r
developments,n
develops,v
deviance,n
deviancy,
deviant,n
deviants,n
deviate,n
deviated,v
deviates,n
deviating,v
deviation,n
deviations,n
device,n
devices,n
devil,n
devilish,s
devilishly,r
devilled,v
devilment,n
devilry,n
devils,n
devious,s
deviously,r
deviousness,n
devisal,n
devise,n
devised,v
deviser,n
devises,n
devising,n
devoice,v
devoid,s
devoir,n
devolution,n
devolve,v
devolved,v
devolving,v
devote,v
devoted,v
devotedly,r
devotedness,n
devotee,n
devotees,n
devotes,v
devoting,v
devotion,n
devotional,n
devotions,n
devour,v
devoured,v
devourer,n
devourers,n
devouring,v
devours,v
devout,s
devoutly,r
devoutness,n
dew,n
dewdrop,n
dewdrops,n
dews,n
dewy,s
dexterity,n
dexterous,s
dexterously,r
dextral,a
dextrose,n
dextrous,s
dextrously,r
dhow,n
diabetes,n
diabetic,n
diabetics,n
diabolic,s
diabolical,s
diabolically,r
diabolism,n
diachronic,a
diaconal,
diacritical,s
diacriticals,
diacritics,n
diadem,n
diadems,n
diagnosable,s
diagnose,v
diagnosed,v
diagnoses,n
diagnosing,n
diagnosis,n
diagnostic,a
diagnostically,
diagnostician,n
diagnostics,n
diagonal,n
diagonalise,v
diagonalised,v
diagonalises,v
diagonalising,v
diagonally,r
diagonals,n
diagram,n
diagrammatic,s
diagrammatically,r
diagrams,n
dial,n
dialect,n
dialectal,a
dialectic,n
dialectical,a
dialectically,r
dialectics,n
dialects,n
dialing,v
dialled,v
dialler,
dialling,v
dialog,n
dialogue,n
dialogues,n
dials,n
dialysis,n
diamante,n
diameter,n
diameters,n
diametric,a
diametrically,r
diamond,n
diamonds,n
diana,n
diapason,n
diaper,n
diapers,n
diaphanous,s
diaphragm,n
diaphragmatic,
diaphragms,n
diaries,n
diarist,n
diarrhea,n
diarrhoea,n
diarrhoeal,s
diary,n
diaspora,n
diastolic,a
diathermy,n
diatom,n
diatomic,a
diatoms,n
diatonic,a
diatribe,n
diatribes,n
dice,n
diced,v
dices,n
dicey,s
dichloride,n
dichotomies,n
dichotomous,s
dichotomy,n
diciest,s
dicing,v
dickens,n
dictate,n
dictated,v
dictates,n
dictating,v
dictation,n
dictator,n
dictatorial,a
dictatorially,r
dictators,n
dictatorship,n
dictatorships,n
diction,n
dictionaries,n
dictionary,n
dictions,n
dictum,n
did,v
didactic,s
didnt,
die,n
died,v
diehard,n
diehards,n
dielectric,n
dielectrics,n
dies,n
diesel,n
dieselelectric,
diesels,n
diet,n
dietary,n
dieted,v
dieter,n
dietetic,a
dietician,n
dieticians,n
dieting,n
dietitian,n
dietitians,n
diets,n
differ,v
differed,v
difference,n
differences,n
differencing,
different,a
differentiability,
differentiable,a
differential,n
differentially,r
differentials,n
differentiate,v
differentiated,v
differentiates,v
differentiating,v
differentiation,n
differentiations,n
differentiators,n
differently,r
differing,v
differs,v
difficult,a
difficulties,n
difficulty,n
diffidence,n
diffident,s
diffidently,r
diffract,v
diffracted,v
diffracting,v
diffraction,n
diffracts,v
diffuse,v
diffused,v
diffuser,n
diffusers,n
diffuses,v
diffusing,v
diffusion,n
diffusional,
diffusive,s
diffusivity,
dig,n
digest,n
digested,v
digester,n
digestible,a
digesting,v
digestion,n
digestions,n
digestive,n
digestives,n
digests,n
digger,n
diggers,n
digging,n
diggings,n
digit,n
digital,a
digitalis,n
digitally,r
digitisation,n
digitise,v
digitised,v
digitiser,n
digitisers,n
digitising,v
digits,n
dignified,v
dignify,v
dignifying,v
dignitaries,n
dignitary,n
dignities,n
dignity,n
digraphs,n
digress,v
digressed,v
digressing,v
digression,n
digressions,n
digs,n
dihedral,
dikes,n
diktat,
diktats,
dilapidated,v
dilapidation,n
dilatation,n
dilate,v
dilated,v
dilates,v
dilating,v
dilation,n
dilator,n
dilatory,s
dildo,n
dilemma,n
dilemmas,n
dilettante,n
dilettantes,n
diligence,n
diligent,s
diligently,r
dill,n
dilly,
diluent,n
dilute,v
diluted,v
diluter,a
dilutes,v
diluting,v
dilution,n
dilutions,n
dim,v
dime,n
dimension,n
dimensional,a
dimensionality,n
dimensionally,
dimensioned,v
dimensioning,v
dimensionless,
dimensions,n
dimer,n
dimers,n
dimes,n
diminish,v
diminishable,
diminished,v
diminishes,v
diminishing,v
diminuendo,n
diminution,n
diminutive,n
diminutives,n
dimly,r
dimmed,v
dimmer,n
dimmers,n
dimmest,s
dimming,v
dimness,n
dimorphic,a
dimorphism,n
dimple,n
dimpled,v
dimples,n
dims,v
dimwit,n
din,n
dinar,n
dinars,n
dine,v
dined,v
diner,n
diners,n
dines,v
ding,n
dingdong,v
dinged,v
dinghies,n
dinghy,n
dingier,s
dingiest,s
dinginess,n
dingle,n
dingo,n
dingy,s
dining,n
dinky,n
dinner,n
dinners,n
dinosaur,n
dinosaurs,n
dint,n
dints,n
diocesan,n
diocese,n
diode,n
diodes,n
dioptre,n
dioptres,n
dioxide,n
dioxides,n
dioxin,n
dioxins,n
dip,n
diphtheria,n
diphthong,n
diphthongs,n
diplexers,
diploid,n
diploma,n
diplomacy,n
diplomas,n
diplomat,n
diplomatic,a
diplomatically,r
diplomats,n
dipolar,a
dipole,n
dipoles,n
dipped,v
dipper,n
dipping,v
dips,n
dipsomania,n
dipsomaniac,n
dipsomaniacs,n
dipstick,n
dipsticks,n
dire,s
direct,v
directed,v
directing,v
direction,n
directional,a
directionality,n
directionally,
directionless,s
directions,n
directive,n
directives,n
directly,r
directness,n
director,n
directorate,n
directorates,n
directorial,
directories,n
directors,n
directorship,n
directorships,n
directory,n
directs,v
direly,
direness,
direst,s
dirge,n
dirges,n
dirigible,n
dirigiste,
dirt,n
dirtied,v
dirtier,a
dirties,v
dirtiest,a
dirtily,r
dirtiness,n
dirts,n
dirty,v
dirtying,n
disabilities,n
disability,n
disable,v
disabled,n
disablement,n
disables,v
disabling,v
disabuse,v
disabused,v
disadvantage,n
disadvantaged,v
disadvantageous,a
disadvantageously,r
disadvantages,n
disaffected,v
disaffection,n
disaffiliate,
disaffiliated,
disaffiliating,
disaffiliation,
disaggregate,
disaggregated,
disaggregation,
disagree,v
disagreeable,a
disagreeably,r
disagreed,v
disagreeing,v
disagreement,n
disagreements,n
disagrees,v
disallow,v
disallowed,v
disallowing,v
disallows,v
disambiguate,v
disambiguated,v
disambiguating,v
disambiguation,n
disappear,v
disappearance,n
disappearances,n
disappeared,v
disappearing,n
disappears,v
disappoint,v
disappointed,v
disappointing,v
disappointingly,r
disappointment,n
disappointments,n
disappoints,v
disapprobation,n
disapproval,n
disapprove,v
disapproved,v
disapproves,v
disapproving,v
disapprovingly,r
disarm,v
disarmament,n
disarmed,v
disarmer,n
disarming,n
disarmingly,
disarms,v
disarranging,v
disarray,n
disarrayed,v
disassemble,v
disassembled,v
disassembler,
disassembles,v
disassembling,v
disassembly,n
disassociate,v
disassociated,v
disassociating,v
disassociation,n
disaster,n
disasters,n
disastrous,s
disastrously,r
disavow,v
disavowal,n
disavowed,v
disavowing,v
disband,v
disbanded,v
disbanding,v
disbandment,n
disbands,v
disbars,v
disbelief,n
disbelieve,v
disbelieved,v
disbeliever,n
disbelievers,n
disbelieving,v
disbelievingly,r
disburse,v
disbursed,v
disbursement,n
disbursements,n
disc,n
discant,n
discard,n
discarded,v
discarding,v
discards,n
discern,v
discerned,v
discernible,a
discernibly,
discerning,v
discernment,n
discerns,v
discharge,n
discharged,v
discharges,n
discharging,v
disciple,n
disciples,n
discipleship,n
disciplinarian,n
disciplinarians,n
disciplinary,a
discipline,n
disciplined,v
disciplines,n
disciplining,v
disclaim,v
disclaimed,v
disclaimer,n
disclaimers,n
disclaiming,v
disclaims,v
disclose,v
disclosed,v
discloses,v
disclosing,v
disclosure,n
disclosures,n
disco,n
discography,n
discolour,v
discolouration,n
discoloured,v
discolours,v
discomfit,v
discomfited,n
discomfiture,n
discomfort,n
discomforting,
discomforts,n
disconcert,v
disconcerted,v
disconcerting,v
disconcertingly,r
disconnect,n
disconnected,v
disconnecting,v
disconnection,n
disconnections,n
disconnects,n
disconsolate,a
disconsolately,r
disconsolation,
discontent,n
discontented,v
discontentedly,r
discontents,n
discontinuance,n
discontinuation,n
discontinue,v
discontinued,v
discontinues,v
discontinuing,v
discontinuities,n
discontinuity,n
discontinuous,a
discontinuously,
discord,n
discordance,n
discordant,a
discords,n
discotheque,n
discotheques,n
discount,n
discountability,
discountable,
discounted,v
discounting,v
discounts,n
discourage,v
discouraged,v
discouragement,n
discouragements,n
discourages,v
discouraging,v
discouragingly,r
discourse,n
discoursed,v
discourses,n
discoursing,v
discourteous,a
discourteously,r
discourtesy,n
discover,v
discoverable,s
discovered,v
discoverer,n
discoverers,n
discoveries,n
discovering,v
discovers,v
discovery,n
discredit,n
discreditable,s
discredited,v
discrediting,v
discredits,n
discreet,a
discreetly,r
discreetness,n
discrepancies,n
discrepancy,n
discrepant,s
discrete,s
discretely,
discretion,n
discretionary,s
discriminant,
discriminants,
discriminate,v
discriminated,v
discriminates,v
discriminating,v
discrimination,n
discriminative,s
discriminator,n
discriminators,n
discriminatory,a
discs,n
discursive,s
discursively,r
discus,n
discuss,n
discussable,
discussed,v
discusses,n
discussing,v
discussion,n
discussions,n
disdain,n
disdained,v
disdainful,s
disdainfully,r
disdaining,v
disease,n
diseased,s
diseases,n
disembark,v
disembarkation,n
disembarked,v
disembarking,v
disembodied,v
disembodiment,
disembowel,v
disembowelled,v
disembowelment,n
disembowels,v
disenchanted,v
disenchantment,n
disenfranchise,v
disenfranchised,v
disenfranchisement,n
disenfranchises,v
disenfranchising,v
disengage,v
disengaged,v
disengagement,n
disengaging,v
disentangle,v
disentangled,v
disentangles,v
disentangling,v
disequilibrium,n
disestablish,v
disestablished,v
disestablishing,v
disestablishment,n
disfavour,n
disfigure,v
disfigured,v
disfigurement,n
disfigurements,n
disfigures,v
disfiguring,v
disfranchise,v
disgorge,v
disgorged,v
disgorging,v
disgrace,n
disgraced,v
disgraceful,s
disgracefully,r
disgraces,n
disgracing,v
disgruntled,v
disgruntlement,n
disguise,n
disguised,v
disguises,n
disguising,v
disgust,n
disgusted,v
disgustedly,r
disgusting,v
disgustingly,r
disgusts,n
dish,n
disharmonious,s
disharmony,n
dishcloth,n
disheartened,v
disheartening,v
dished,v
dishes,n
dishevelled,v
dishier,s
dishing,v
dishonest,a
dishonestly,r
dishonesty,n
dishonour,n
dishonourable,a
dishonourably,r
dishonoured,v
dishpan,n
dishwasher,n
dishwashers,n
dishwater,n
dishy,s
disillusion,n
disillusioned,v
disillusioning,v
disillusionment,n
disincentive,n
disincentives,n
disinclination,n
disinclined,v
disinfect,v
disinfectant,n
disinfectants,n
disinfected,v
disinfecting,v
disinfection,n
disinformation,n
disingenuous,a
disingenuously,r
disinherit,v
disinherited,v
disintegrate,v
disintegrated,v
disintegrates,v
disintegrating,v
disintegration,n
disinter,v
disinterest,n
disinterested,s
disinterestedly,r
disinterestedness,n
disinterred,v
disinvest,v
disinvestment,n
disjoin,v
disjoint,v
disjointed,v
disjointedly,r
disjointness,
disjunct,a
disjunction,n
disjunctions,n
disjunctive,a
diskette,n
diskettes,n
dislike,n
disliked,v
dislikes,n
disliking,v
dislocate,v
dislocated,v
dislocates,v
dislocating,v
dislocation,n
dislocations,n
dislodge,v
dislodged,v
dislodges,v
dislodging,v
disloyal,a
disloyalty,n
dismal,s
dismally,r
dismantle,v
dismantled,v
dismantles,v
dismantling,n
dismay,n
dismayed,v
dismaying,v
dismays,n
dismember,v
dismembered,v
dismembering,v
dismemberment,n
dismembers,v
dismiss,v
dismissal,n
dismissals,n
dismissed,v
dismisses,v
dismissible,s
dismissing,v
dismissive,s
dismissively,
dismount,n
dismounted,v
dismounting,v
dismounts,n
disobedience,n
disobedient,a
disobey,v
disobeyed,v
disobeying,v
disobeys,v
disorder,n
disordered,v
disorderly,a
disorders,n
disorganisation,n
disorganise,v
disorganised,v
disorganising,v
disorient,v
disorientated,v
disorientating,v
disorientation,n
disoriented,v
disown,v
disowned,v
disowning,n
disowns,v
disparage,v
disparaged,v
disparagement,n
disparaging,v
disparagingly,r
disparate,s
disparities,n
disparity,n
dispassionate,s
dispassionately,r
dispatch,n
dispatched,v
dispatcher,n
dispatchers,n
dispatches,n
dispatching,v
dispel,v
dispelled,v
dispelling,v
dispels,v
dispensable,a
dispensaries,n
dispensary,n
dispensation,n
dispensations,n
dispense,v
dispensed,v
dispenser,n
dispensers,n
dispenses,v
dispensing,v
dispersal,n
dispersant,
disperse,v
dispersed,v
disperser,
dispersers,
disperses,v
dispersing,v
dispersion,n
dispersions,n
dispersive,s
dispersively,
dispirited,v
dispiritedly,r
dispiriting,v
displace,v
displaced,v
displacement,n
displacements,n
displacer,
displaces,v
displacing,v
display,n
displayable,
displayed,v
displaying,v
displays,n
displease,v
displeased,v
displeasing,v
displeasure,n
disporting,v
disposable,n
disposables,n
disposal,n
disposals,n
dispose,v
disposed,v
disposer,
disposers,
disposes,v
disposing,v
disposition,n
dispositions,n
dispossess,v
dispossessed,v
dispossession,n
disproof,n
disproofs,n
disproportional,a
disproportionally,
disproportionate,a
disproportionately,r
disprovable,
disprove,v
disproved,v
disproves,v
disproving,v
disputable,s
disputant,n
disputants,n
disputation,n
disputatious,s
dispute,n
disputed,v
disputes,n
disputing,v
disqualification,n
disqualifications,n
disqualified,v
disqualifies,v
disqualify,v
disqualifying,v
disquiet,n
disquieting,v
disquietude,n
disquisition,n
disquisitions,n
disregard,n
disregarded,v
disregarding,v
disregards,n
disrepair,n
disreputable,a
disrepute,n
disrespect,n
disrespectful,a
disrespectfully,r
disrespects,n
disrobe,v
disrobing,v
disrupt,v
disrupted,v
disrupting,v
disruption,n
disruptions,n
disruptive,s
disruptively,r
disruptor,
disrupts,v
dissatisfaction,n
dissatisfactions,n
dissatisfied,v
dissatisfies,v
dissatisfy,v
dissatisfying,v
dissect,v
dissected,v
dissecting,v
dissection,n
dissections,n
dissector,
dissects,v
dissemble,v
dissembled,v
dissembling,n
disseminate,v
disseminated,v
disseminating,v
dissemination,n
dissension,n
dissensions,n
dissent,n
dissented,v
dissenter,n
dissenters,n
dissenting,v
dissertation,n
dissertations,n
disservice,n
dissidence,n
dissident,n
dissidents,n
dissimilar,a
dissimilarities,n
dissimilarity,n
dissimulation,n
dissipate,v
dissipated,v
dissipates,v
dissipating,v
dissipation,n
dissipative,
dissociate,v
dissociated,v
dissociating,v
dissociation,n
dissociative,s
dissociatively,
dissolute,s
dissolution,n
dissolve,n
dissolved,v
dissolves,n
dissolving,n
dissonance,n
dissonances,n
dissonant,s
dissuade,v
dissuaded,v
dissuades,v
dissuading,v
distaff,n
distal,a
distally,r
distance,n
distanced,v
distances,n
distancing,v
distant,a
distantly,r
distaste,n
distasteful,s
distastefully,r
distemper,n
distempered,v
distempers,n
distended,v
distension,n
distil,v
distillate,n
distillation,n
distillations,n
distilled,v
distiller,n
distilleries,n
distillers,n
distillery,n
distilling,v
distils,v
distinct,s
distinction,n
distinctions,n
distinctive,s
distinctively,r
distinctiveness,n
distinctly,r
distinctness,n
distinguish,v
distinguishable,a
distinguishably,
distinguished,v
distinguishes,v
distinguishing,v
distort,v
distorted,v
distorter,
distorting,v
distortion,n
distortions,n
distorts,v
distract,v
distracted,v
distractedly,r
distractedness,
distracting,v
distractingly,
distraction,n
distractions,n
distracts,v
distraught,s
distress,n
distressed,v
distresses,n
distressing,v
distressingly,r
distributable,
distribute,v
distributed,v
distributes,v
distributing,v
distribution,n
distributional,a
distributions,n
distributive,a
distributivity,
distributor,n
distributors,n
district,n
districts,n
distrust,n
distrusted,v
distrustful,a
distrustfully,r
distrusting,v
distrusts,n
disturb,v
disturbance,n
disturbances,n
disturbed,v
disturbing,v
disturbingly,r
